ClaimIdentifier,Claim Type,Insured ID  Number,Patient_LastName,Patient_FirstName,Patient_MI,Patient_DOB,Patient_Sex,Insureds_LastName,Insureds_FirstName,Insureds_MI,Patient_Address1,Patient_Address2,Patient_City,Patient_State,Patient_Zip,Patient_Phone,Patient_RelationshipToInsured,Insureds_Address1,Insureds_Address2,Insureds_City,Insureds_State,Insureds_Zip,Insureds_Phone,Patient_Status_Marriage,Patient_Status_Employment,Patient_ConditionRelatedTo_Employment,Patient_ConditionRelatedTo_AutoAccident,Patient_ConditionRelatedTo_OtherAccident,Date_Of_Current,First_Date_Of_Illness,Provider_Referring_Name,Provider_Referring_NPI,DiagnosisCode1,DiagnosisCode2,DiagnosisCode3,DiagnosisCode4,CLM_1_From_Date,CLM_1_To_Date,CLM_1_PlaceOfService,CLM_1_CPT,CLM_1_CPT_Mod1,CLM_1_CPT_Mod2,CLM_1_CPT_Mod3,CLM_1_CPT_Mod4,CLM_1_CPT_DiagnosisPointer,CLM_1_CPT_Charges,CLM_1_CPT_DaysOrUnits,CLM_1_NPI,CLM_2_From_Date,CLM_2_To_Date,CLM_2_PlaceOfService,CLM_2_CPT,CLM_2_CPT_Mod1,CLM_2_CPT_Mod2,CLM_2_CPT_Mod3,CLM_2_CPT_Mod4,CLM_2_CPT_DiagnosisPointer,CLM_2_CPT_Charges,CLM_2_CPT_DaysOrUnits,CLM_2_NPI,CLM_3_From_Date,CLM_3_To_Date,CLM_3_PlaceOfService,CLM_3_CPT,CLM_3_CPT_Mod1,CLM_3_CPT_Mod2,CLM_3_CPT_Mod3,CLM_3_CPT_Mod4,CLM_3_CPT_DiagnosisPointer,CLM_3_CPT_Charges,CLM_3_CPT_DaysOrUnits,CLM_3_NPI,CLM_4_From_Date,CLM_4_To_Date,CLM_4_PlaceOfService,CLM_4_CPT,CLM_4_CPT_Mod1,CLM_4_CPT_Mod2,CLM_4_CPT_Mod3,CLM_4_CPT_Mod4,CLM_4_CPT_DiagnosisPointer,CLM_4_CPT_Charges,CLM_4_CPT_DaysOrUnits,CLM_4_NPI,CLM_5_From_Date,CLM_5_To_Date,CLM_5_PlaceOfService,CLM_5_CPT,CLM_5_CPT_Mod1,CLM_5_CPT_Mod2,CLM_5_CPT_Mod3,CLM_5_CPT_Mod4,CLM_5_CPT_DiagnosisPointer,CLM_5_CPT_Charges,CLM_5_CPT_DaysOrUnits,CLM_5_NPI,CLM_6_From_Date,CLM_6_To_Date,CLM_6_PlaceOfService,CLM_6_CPT,CLM_6_CPT_Mod1,CLM_6_CPT_Mod2,CLM_6_CPT_Mod3,CLM_6_CPT_Mod4,CLM_6_CPT_DiagnosisPointer,CLM_6_CPT_Charges,CLM_6_CPT_DaysOrUnits,CLM_6_NPI,FedTaxID,PatientAccountNumber,TotalCharge,AmountPaid,BalanceDue,ServiceFacility,BillingProviderInfo,DataGenesis,DataType
7,MEDICAID,53154n781F8A,Jodlowski,Gilberto, ,1/23/1964,M,Jodlowski,Gilberto, ,34 Linden Street,,Washington,D.C.,20304,202-260-5915,SELF,34 Linden Street,,Washington,D.C.,20304,202-260-5915,SINGLE,PART-TIME STUDENT,NO,NO,YES,7/6/2020,,,,I10,,,,7/6/2020,7/6/2020,12,99221,9P,KY,KD,,1,1215.08,1,2047646400,7/6/2020,7/6/2020,11,99203,43,O2,21,,1,1436.92,1,2402879641,7/6/2020,7/6/2020,2,99214,GB,CU,GL,,1,1600.86,1,2303217404,7/6/2020,7/6/2020,11,99204,26,41,GL,,1,546.82,1,1581560652,7/6/2020,7/6/2020,21,99213,ID,5,5,,1,321.41,1,2374300175,7/6/2020,7/6/2020,11,69210,39,87,6S,,1,1789.84,1,2374300175,31-8846401,813-53-4540,6910.93,0,6910.93,"52341 Anthes Avenue, Washington D.C., 20050","52341 Anthes Avenue, Washington D.C., 20050",Noisy,Claim
8,MEDICAID,610xII0pN385,Trymme,Nona, ,1/18/1985,F,Trymme,Nona, ,540 Anhalt Way,APT 662,Washington,D.C.,20270,202-218-9941,SELF,540 Anhalt Way,APT 662,Washington,D.C.,20270,202-218-9941,SINGLE,PART-TIME STUDENT,NO,NO,NO,6/4/2020,7/8/2016,Dr. Derwin McIver,1528997797,U07.1,C34.90,,,6/4/2020,6/4/2020,12,69210,,,,,1,705.01,1,1018493702,6/4/2020,6/4/2020,2,93000,,,,,1,1211.51,1,1581560652,6/4/2020,6/4/2020,21,99215,,,,,1,1677.78,1,1173953828,6/4/2020,6/4/2020,31,90688,,,,,1,1624.26,1,1794634850,6/4/2020,6/4/2020,21,99349,,,,,1,1653.29,1,2951611356,6/4/2020,6/4/2020,21,99233,,,,,1,418.32,1,2951611356,23-2761505,877-10-0077,7290.17,0,7290.17,"87581 Cordelia Hill, Washington D.C., 20052","87581 Cordelia Hill, Washington D.C., 20052",Noisy,Claim
9,MEDICAID,1Zvd55EPyXEB,Bearcroft,Karee, ,10/26/1930,F,Bearcroft,Karee, ,2 Delaware Alley,,Washington,D.C.,20306,202-136-6767,SELF,2 Delaware Alley,,Washington,D.C.,20306,202-136-6767,MARRIED,FULL-TIME STUDENT,NO,NO,NO,12/22/2019,,,,R05,,,,12/22/2019,12/22/2019,31,99349,12,,,,1,1351.75,1,1173434577,12/22/2019,12/22/2019,31,99223,AL,,,,1,1821.17,1,2525942599,12/22/2019,12/22/2019,21,99395,PP,,,,1,1872.87,1,1879008081,12/22/2019,12/22/2019,31,99215,X4,,,,1,656.45,1,1173953828,12/22/2019,12/22/2019,31,93000,P7,,,,1,1323.8,1,2141027533,12/22/2019,12/22/2019,12,99211,HQ,,,,1,1949.73,1,1251486319,81-3681906,376-22-5096,8975.77,0,8975.77,"3278 Quincy Point, Washington D.C., 20058","3278 Quincy Point, Washington D.C., 20058",Noisy,Claim
10,MEDICAID,4iz70D65z00m,Brandenberg,Shell, ,10/21/1948,F,Brandenberg,Shell, ,405 Onsgard Trail,UNIT 476,Washington,D.C.,20009,202-453-4289,SELF,405 Onsgard Trail,UNIT 476,Washington,D.C.,20009,202-453-4289,SINGLE,FULL-TIME STUDENT,YES,NO,YES,7/26/2018,,,,E78.00,,,,7/26/2018,7/26/2018,2,99211,,,,,1,600.91,1,2536050724,7/26/2018,7/26/2018,11,90688,,,,,1,1750.29,1,1214955140,7/26/2018,7/26/2018,2,99348,,,,,1,1053.42,1,1581560652,7/26/2018,7/26/2018,31,99213,,,,,1,436.61,1,2047646400,7/26/2018,7/26/2018,11,99232,,,,,1,1769.15,1,1085601728,7/26/2018,7/26/2018,31,93000,,,,,1,1206.48,1,2810623947,13-4694076,145-77-6533,6816.86,0,6816.86,"27280 Oakridge Street, Washington D.C., 20054","27280 Oakridge Street, Washington D.C., 20054",Noisy,Claim
11,MEDICAID,977t1o47083G,Shakle,Delano, ,8/6/1983,M,Shakle,Delano, ,670 Meadow Valley Drive,APT 166,Washington,D.C.,20393,202-142-9331,SELF,670 Meadow Valley Drive,APT 166,Washington,D.C.,20393,202-142-9331,OTHER,EMPLOYED,NO,NO,YES,8/12/2018,,,,F33.1,,C73,,8/12/2018,8/12/2018,2,99211,8,NR,89,AP,1,629.23,1,2777193110,8/12/2018,8/12/2018,12,99350,0O,W6,5E,92,1,1621.34,1,1879008081,8/12/2018,8/12/2018,31,99221,YA,6I,M9,2V,1,1462.57,1,1581560652,8/12/2018,8/12/2018,11,99231,59,1Z,M9,2V,1,1221.57,1,1214955140,8/12/2018,8/12/2018,12,99211,5R,27,8U,UR,1,479.66,1,2810623947,8/12/2018,8/12/2018,12,99231,98,KL,Q7,ZX,1,1369.89,1,1879008081,67-4840818,203-50-1817,6784.26,0,6784.26,"40270 Rutledge Hill, Washington D.C., 20056","40270 Rutledge Hill, Washington D.C., 20056",Noisy,Claim
12,MEDICAID,3286ln299V20,Matijasevic,Mable, ,1/21/1983,F,Matijasevic,Mable, ,84040 Forster Avenue,,Washington,D.C.,20225,202-700-6465,SELF,84040 Forster Avenue,,Washington,D.C.,20225,202-700-6465,SINGLE,PART-TIME STUDENT,NO,NO,NO,12/23/2018,,,,R05,,,,12/23/2018,12/23/2018,11,99223,D6,84,92,,1,1514.67,1,2867882669,12/23/2018,12/23/2018,12,93000,CR,I5,68,,1,509.29,1,2637980735,12/23/2018,12/23/2018,12,99350,MY,ZK,M9,,1,1593.49,1,2637980735,12/23/2018,12/23/2018,11,99222,ET,2I,M9,,1,712.08,1,2637980735,12/23/2018,12/23/2018,12,99350,F8,W0,JJ,,1,1359.03,1,2747742614,12/23/2018,12/23/2018,21,99222,GJ,84,96,,1,1451.27,1,2951611356,95-9869143,129-66-9280,7139.83,0,7139.83,"4095 Red Cloud Pass, Washington D.C., 20060","4095 Red Cloud Pass, Washington D.C., 20060",Noisy,Claim
13,MEDICAID,Y93Ag3rd8a5T,Fockes,Avery, ,5/26/1983,M,Fockes,Avery, ,9 Sherman Park,UNIT 106,Washington,D.C.,20587,202-147-8023,SELF,9 Sherman Park,UNIT 106,Washington,D.C.,20587,202-147-8023,SINGLE,EMPLOYED,NO,NO,YES,9/20/2018,,,,K21.0,,,,9/20/2018,9/20/2018,12,99233,22,1,YF,,1,823.87,1,2283062518,9/20/2018,9/20/2018,2,99309,43,9J,6H,,1,1534.08,1,1817398960,9/20/2018,9/20/2018,2,99232,H5,BD,V6,,1,1352.25,1,1528997797,9/20/2018,9/20/2018,21,99233,YS,71,V6,,1,328.46,1,1173953828,9/20/2018,9/20/2018,2,93000,0X,94,O0,,1,1149.77,1,1018493702,9/20/2018,9/20/2018,12,90471,54,TT,J2,,1,1223.69,1,2536050724,81-9061538,306-62-0543,6412.12,0,6412.12,"89915 American Park, Washington D.C., 20056","89915 American Park, Washington D.C., 20056",Noisy,Claim
14,MEDICAID,J6AxR1lj1x7H,Bougen,Lyman, ,9/14/1986,M,Bougen,Lyman, ,92 Prairie Rose Circle,,Washington,D.C.,20223,202-411-1702,SELF,92 Prairie Rose Circle,,Washington,D.C.,20223,202-411-1702,OTHER,PART-TIME STUDENT,NO,NO,NO,4/2/2019,,,,G47.00,,,,4/2/2019,4/2/2019,31,90688,,,,,1,609.01,1,1018493702,4/2/2019,4/2/2019,21,99222,,,,,1,1844.23,1,1018493702,4/2/2019,4/2/2019,11,99348,,,,,1,1931.09,1,2951611356,4/2/2019,4/2/2019,21,99349,,,,,1,983.15,1,2637980735,4/2/2019,4/2/2019,2,96127,,,,,1,1808.34,1,1794634850,4/2/2019,4/2/2019,12,99233,,,,,1,390.05,1,1327732647,86-7229674,187-83-4173,7565.87,0,7565.87,"80393 High Crossing Place, Washington D.C., 20056","80393 High Crossing Place, Washington D.C., 20056",Noisy,Claim
15,MEDICAID,PsG556J5f47o,Slyme,Regina, ,7/27/1947,F,Slyme,Regina, ,296 Straubel Hill,APT 413,Washington,D.C.,20365,202-052-2077,SELF,296 Straubel Hill,APT 413,Washington,D.C.,20365,202-052-2077,OTHER,EMPLOYED,NO,NO,NO,4/21/2020,,,,J00,,,R11.2,4/21/2020,4/21/2020,2,99223,,,,,1,1571.63,1,2777193110,4/21/2020,4/21/2020,21,99349,,,,,1,1624.63,1,2867882669,4/21/2020,4/21/2020,2,81002,,,,,1,1724.1,1,1581560652,4/21/2020,4/21/2020,11,69210,,,,,1,786.19,1,2747742614,4/21/2020,4/21/2020,12,99233,,,,,1,339.46,1,2402879641,4/21/2020,4/21/2020,2,99395,,,,,1,796.86,1,1794634850,45-4045358,247-16-2170,6842.87,0,6842.87,"90 Prairie Rose Road, Washington D.C., 20051","90 Prairie Rose Road, Washington D.C., 20051",Noisy,Claim
16,MEDICAID,4s9Y0CT9a2j4,Castanaga,Jerri, ,7/1/1987,M,Castanaga,Jerri, ,71285 Birchwood Terrace,,Washington,D.C.,20150,202-042-0074,SELF,71285 Birchwood Terrace,,Washington,D.C.,20150,202-042-0074,MARRIED,FULL-TIME STUDENT,NO,YES,YES,4/7/2019,,,,N39.0,,F33.1,,4/7/2019,4/7/2019,2,99223,,,,,1,324.52,1,2107071811,4/7/2019,4/7/2019,12,99222,,,,,1,1263.31,1,1900020073,4/7/2019,4/7/2019,11,99215,,,,,1,1200.07,1,2402879641,4/7/2019,4/7/2019,21,99233,,,,,1,1195.81,1,2637980735,4/7/2019,4/7/2019,11,99395,,,,,1,1322.89,1,2292387037,4/7/2019,4/7/2019,11,99232,,,,,1,1197.13,1,2951611356,88-6251755,173-04-8402,6503.73,0,6503.73,"2 Grasskamp Junction, Washington D.C., 20051","2 Grasskamp Junction, Washington D.C., 20051",Noisy,Claim
17,MEDICAID,P277rqS65o8x,Scudder,Bebe, ,3/11/2016,F,Scudder,Bebe, ,469 Center Plaza,SUITE 426,Washington,D.C.,20064,202-167-6760,SELF,469 Center Plaza,SUITE 426,Washington,D.C.,20064,202-167-6760,OTHER,FULL-TIME STUDENT,NO,NO,NO,6/18/2018,,,,E11.9,,,,6/18/2018,6/18/2018,2,96127,0L,5Y,AZ,,1,1455.58,1,2536050724,6/18/2018,6/18/2018,21,96127,32,RN,6,,1,1829.21,1,2747742614,6/18/2018,6/18/2018,11,99215,Z1,D0,96,,1,1123.61,1,2107071811,6/18/2018,6/18/2018,12,99212,3P,9N,96,,1,308.52,1,2141027533,6/18/2018,6/18/2018,12,69210,Y3,KA,UQ,,1,892.73,1,1327732647,6/18/2018,6/18/2018,31,99215,63,8,X9,,1,833.13,1,2283062518,03-8029726,699-16-7012,6442.78,0,6442.78,"1 West Way, Washington D.C., 20054","1 West Way, Washington D.C., 20054",Noisy,Claim
18,MEDICAID,gWW9t2111i5R,Logsdale,Evelin, ,5/31/2014,M,Logsdale,Evelin, ,04265 Summer Ridge Avenue,SUITE 483,Washington,D.C.,20298,202-104-3644,SELF,04265 Summer Ridge Avenue,SUITE 483,Washington,D.C.,20298,202-104-3644,SINGLE,FULL-TIME STUDENT,NO,NO,NO,3/22/2019,,,,B97.89,,I10,,3/22/2019,3/22/2019,2,93000,,,,,1,507.7,1,2283062518,3/22/2019,3/22/2019,31,96127,,,,,1,1769.31,1,1251486319,3/22/2019,3/22/2019,2,90471,,,,,1,1709.25,1,1085601728,3/22/2019,3/22/2019,31,99204,,,,,1,1049.5,1,2747742614,3/22/2019,3/22/2019,31,99233,,,,,1,341.21,1,1581560652,3/22/2019,3/22/2019,21,99204,,,,,1,414.02,1,1214955140,71-9305307,328-89-9754,5790.99,0,5790.99,"7 Sundown Terrace, Washington D.C., 20051","7 Sundown Terrace, Washington D.C., 20051",Noisy,Claim
19,MEDICAID,ign85840piM6,Bougen,Lyman, ,9/14/1986,M,Bougen,Lyman, ,92 Prairie Rose Circle,,Washington,D.C.,20223,202-446-5078,SELF,92 Prairie Rose Circle,,Washington,D.C.,20223,202-446-5078,SINGLE,FULL-TIME STUDENT,NO,NO,NO,12/5/2018,,,,I10,,,E66.01,12/5/2018,12/5/2018,2,99222,91,6A,8K,,1,1865.78,1,2374300175,12/5/2018,12/5/2018,2,99232,9F,W8,54,,1,464.29,1,2525942599,12/5/2018,12/5/2018,31,99215,E4,FB,9S,,1,521,1,2810623947,12/5/2018,12/5/2018,2,99310,W9,74,9S,,1,1573.62,1,2810623947,12/5/2018,12/5/2018,21,99350,YD,Z3,9,,1,1930.12,1,2283062518,12/5/2018,12/5/2018,12,99214,50,67,53,,1,1637.46,1,2107071811,08-5456532,187-83-4173,7992.27,0,7992.27,"9087 Arapahoe Trail, Washington D.C., 20050","9087 Arapahoe Trail, Washington D.C., 20050",Noisy,Claim
