gender,race,firstname,middlename,lastname,suffix,dob,ssn,address1,address2,zip5,zip4,quadrant,scenarionumber,IsDependent,primaryInsuredId,primaryInsuredRelationship,scenariodesc
F,Hispanic,Drindi,M,Day,,1/27/1994,114-98-3748,744 28th Street ,,20051,,,5,,,,"Variations in name spellings, Middle Name conflated with First name, Last name conflated with First name"
F,Hispanic,Day,M,Drindy,,1/27/1994,114-98-3748,744 28th Street ,,20051,2332,NE,5,,,,"Variations in name spellings, Middle Name conflated with First name, Last name conflated with First name"
UNKOWN,Unk,Marcella,,Day,,1/21/1991,115-987-375,744 28th Street ,,20051,2332,NE,5,,,,"Variations in name spellings, Middle Name conflated with First name, Last name conflated with First name"
Female,Hispanic,Mindy,,Moriss,,1/27/1994,115-987-376,744 28th Street ,Apt 22B,30332,,NE,6,,,,Variations in name spelling but with a very close match. Address with quadrant.
UNKOWN,Unk,Mindi,,Moriss,,1/7/1994,115-987-377,744 28th Street ,,30332,,NE,6,,,,Variations in name spelling but with a very close match. Address with quadrant.
Female,Hispanic,Mindy,,Moriss,,1/27/1994,115-987-378,"744 28th Street, NE",Apt 22B,30332,,,6,,,,Variations in name spelling but with a very close match. Address with quadrant.
Male,Black,Ralph,B,Goode,,5/7/1988,217-34-9985,"128 4th St, Unit 44",,20244,,SW,7,,,,
Male,Black,Ralph,,Good,,,578-34-9985,128 4th Street,#44,,, ,7,,,,"Good data, same SSN, minor differences or missing data otherwise"
Male,Black,Guy,,Goode,,5/7/1988,217-34-9985,128 4th St,,,, ,7,,,,"Good data, same SSN, minor differences or missing data otherwise"
Unk,Other,,,Goode,,5/17/1998,578-34-9985,128 4th St,,,,NW,7,,,,"Good data, same SSN, minor differences or missing data otherwise"
Male,Unknown,George,C,Goode,,4/12/2007,217-34-9985,1838 18th st,,20244,,NE,7,,,,Bad SSN match with too much different data - only last name/zip the same
Female,Other,Tracy,,Jones,,8/3/1988,217-34-9986,722 28th Street,,30332,,NE,8,,,,Exact name and address without unit or zip+4
F,Unk,Tracy,M,Jones,,8/3/1988,217-34-9987,722 28th Street,,30332,,,8,,,,Exact name and address without unit or zip+4
M,Hispanic,Nuno,,Day,,6/25/1996,444-55-6666,744 28th Street ,,20051,,NE,9,Y,114-98-3748,SpouseOf,Dependent Relationship
M,Hispanic,Nuno,,Day,Jr.,4/1/2016,555-66-7777,744 28th Street ,,20051,,NE,9,Y,114-98-3748,ChildOf,Dependent Relationship
Male,,Bentlee,,Vaune,,3/10/1947,175-55-5810,4 New Castle Avenue,APT 740,20499,,NW,noisy,,,,noisy
Female,,Kellen,,Solon,,2/10/1956,844-54-2469,745 Sachs Lane,SUITE 834,20339,,SE,noisy,,,,noisy
Female,,Katusha,,Welbelove,,9/19/2003,867-78-6986,5 Hudson Avenue,,20590,,NW,noisy,,,,noisy
Female,,Rubi,,Brownrigg,,5/3/2008,209-66-8798,995 Nova Pass,,20096,,SW,noisy,,,,noisy
Male,,Archie,,Boynes,,12/14/1996,596-07-0907,0 Clemons Lane,UNIT 747,20278,,SW,noisy,,,,noisy
Male,,Whitaker,,Sheerman,,4/21/1938,737-83-0432,0667 Ryan Plaza,SUITE 420,20048,,SE,noisy,,,,noisy
Male,,Vassily,,Bounds,,3/4/1956,753-31-8622,48400 Johnson Road,UNIT 183,20071,,SW,noisy,,,,noisy
Male,,Fred,,Stopforth,,2/1/2002,702-15-4092,6 Amoth Point,,20118,,SW,noisy,,,,noisy
Male,,Evelin,,Logsdale,,5/31/2014,328-89-9754,04265 Summer Ridge Avenue,SUITE 483,20298,,NW,noisy,,,,noisy
Male,,Pearce,,Child,,11/25/1964,765-33-1851,369 Trailsway Parkway,UNIT 121,20215,,SE,noisy,,,,noisy
Male,,Waylin,,Sute,,10/10/1982,586-50-0380,01441 Merrick Junction,SUITE 359,20221,,SE,noisy,,,,noisy
Male,,Geoffry,,Brett,,8/24/1985,413-70-5301,4090 Lakewood Center,UNIT 653,20484,,SE,noisy,,,,noisy
Male,,Gilberto,,Jodlowski,,1/23/1964,813-53-4540,34 Linden Street,,20304,,NW,noisy,,,,noisy
Male,,Merry,,Castri,,2/14/1953,724-97-7823,7430 Jana Hill,SUITE 605,20116,,SW,noisy,,,,noisy
Male,,Binky,,Balshen,,9/26/1955,417-67-2825,1214 Vernon Junction,,20524,,SW,noisy,,,,noisy
Female,,Ambur,,Foot,,5/24/1952,513-76-8225,28262 Scott Circle,UNIT 444,20222,,SE,noisy,,,,noisy
Male,,Rorke,,Mainstone,,9/7/1942,364-68-0685,104 Shasta Avenue,,20086,,SW,noisy,,,,noisy
Male,,Winifield,,Laxen,,6/27/2019,530-63-7987,3586 Homewood Parkway,UNIT 836,20152,,NE,noisy,,,,noisy
Male,,Lyman,,Bougen,,9/14/1986,187-83-4173,92 Prairie Rose Circle,,20223,,SW,noisy,,,,noisy
Female,,Dorris,,Shoard,,11/19/1952,170-40-8499,53 Washington Center,,20120,,NE,noisy,,,,noisy
Female,,Britney,,Dulen,,4/5/1959,610-75-1458,9 Raven Parkway,UNIT 362,20595,,NW,noisy,,,,noisy
Female,,Gaby,,Scraggs,,10/15/1982,313-02-7265,8 Village Terrace,,20385,,NE,noisy,,,,noisy
Male,,Rogerio,,Carrick,,7/9/1972,669-55-4446,76071 Badeau Court,SUITE 943,20479,,NW,noisy,,,,noisy
Male,,Avery,,Fockes,,5/26/1983,306-62-0543,9 Sherman Park,UNIT 106,20587,,NW,noisy,,,,noisy
Male,,Asa,,Conrart,,9/29/1983,384-42-0803,66302 American Ash Court,SUITE 246,20258,,SE,noisy,,,,noisy
Female,,Rubie,,Yerbury,,1/18/1994,531-88-9953,914 Talmadge Way,,20496,,SE,noisy,,,,noisy
Male,,Orson,,Collen,,11/19/1995,179-82-6859,9 Clarendon Park,SUITE 830,20290,,SW,noisy,,,,noisy
Female,,Rois,,Dilger,,11/7/2009,298-41-9337,8895 Bellgrove Point,,20153,,NE,noisy,,,,noisy
Male,,Emanuel,,Fantin,,5/27/1983,551-47-7460,5 Hoepker Lane,,20320,,SE,noisy,,,,noisy
Male,,Fairfax,,Record,,2/13/1968,546-50-5424,79 Havey Circle,SUITE 350,20097,,SE,noisy,,,,noisy
Male,,Harper,,Yate,,3/30/1994,506-45-7968,97 Larry Place,APT 186,20559,,NW,noisy,,,,noisy
Female,,Sibbie,,Muccino,,4/19/1936,472-64-6718,8 Spaight Hill,,20429,,SW,noisy,,,,noisy
Female,,Jilleen,,Hargate,,11/28/1944,791-09-2857,85844 Reindahl Pass,SUITE 913,20166,,NW,noisy,,,,noisy
Female,,Kerianne,,Pollett,,4/20/1982,383-60-3713,36 Rigney Drive,SUITE 30,20586,,NW,noisy,,,,noisy
Male,,Tod,,Kunzler,,6/16/1981,475-84-0890,02030 Michigan Plaza,,20309,,NW,noisy,,,,noisy
Female,,Blinny,,Davidovitch,,7/18/1941,325-60-4469,7180 Petterle Plaza,APT 464,20121,,NW,noisy,,,,noisy
Male,,Ody,,Ratcliff,,12/23/2001,277-73-6627,29925 Gateway Hill,SUITE 637,20171,,SE,noisy,,,,noisy
Male,,Jerri,,Castanaga,,7/1/1987,173-04-8402,71285 Birchwood Terrace,,20150,,SE,noisy,,,,noisy
Male,,Alyosha,,Janjic,,2/14/1938,664-23-0191,17618 Pennsylvania Crossing,APT 255,20127,,NE,noisy,,,,noisy
Female,,Martynne,,Rean,,7/11/1978,221-61-9384,760 Michigan Court,SUITE 308,20107,,NW,noisy,,,,noisy
Female,,Sherie,,Thominga,,6/26/1936,606-68-5725,49 Meadow Valley Lane,UNIT 120,20018,,NW,noisy,,,,noisy
Female,,Shell,,Brandenberg,,10/21/1948,145-77-6533,405 Onsgard Trail,UNIT 476,20009,,SW,noisy,,,,noisy
Female,,Beatrice,,Domokos,,12/11/1959,295-73-8840,150 Crowley Court,SUITE 466,20514,,NE,noisy,,,,noisy
Female,,Nona,,Trymme,,1/18/1985,877-10-0077,540 Anhalt Way,APT 662,20270,,SW,noisy,,,,noisy
Male,,Rodrigo,,Dallosso,,5/1/1978,251-03-0262,565 Armistice Way,SUITE 109,20505,,NE,noisy,,,,noisy
Male,,Tully,,Flacknell,,11/30/1957,227-50-3243,5 Havey Way,APT 282,20116,,NE,noisy,,,,noisy
Male,,Zerk,,Catterick,,12/2/1958,342-99-0290,9404 Bunting Crossing,UNIT 973,20544,,SE,noisy,,,,noisy
Male,,Daren,,Skedgell,,6/4/2006,618-54-0974,1 Briar Crest Road,APT 218,20428,,SW,noisy,,,,noisy
Female,,Abagael,,Darco,,7/2/1957,638-62-4100,4 Mccormick Place,,20377,,NW,noisy,,,,noisy
Male,,Elmer,,Tweddle,,3/28/1981,665-53-9342,494 Mcguire Trail,,20455,,SW,noisy,,,,noisy
Male,,Alphonse,,Wallwood,,7/13/1991,674-19-5301,118 Johnson Plaza,SUITE 738,20550,,NW,noisy,,,,noisy
Male,,Shay,,Lowensohn,,10/18/2005,506-07-5902,78 Holy Cross Center,APT 622,20498,,SW,noisy,,,,noisy
Male,,Fraze,,Haddock,,6/9/1989,514-89-2917,0390 Rieder Drive,UNIT 678,20211,,SW,noisy,,,,noisy
Female,,Janela,,Baldock,,9/29/2004,833-66-5761,0 Reinke Road,,20580,,SE,noisy,,,,noisy
Male,,Brooks,,Yuill,,11/21/1933,250-64-8372,45872 Sage Crossing,,20040,,SE,noisy,,,,noisy
Female,,Davita,,Amys,,8/31/2018,207-86-3499,1 Maple Court,UNIT 867,20380,,NE,noisy,,,,noisy
Male,,Horacio,,Rozalski,,2/16/1967,704-49-9616,83040 Kim Plaza,,20495,,NE,noisy,,,,noisy
Female,,Tabitha,,Gibbons,,12/19/2007,433-42-1115,79 Warrior Lane,APT 22,20454,,NE,noisy,,,,noisy
Male,,Goddard,,Alejo,,12/20/1995,405-90-3549,63611 Nelson Circle,,20126,,SE,noisy,,,,noisy
Female,,Vikki,,Stollery,,9/11/1960,121-09-6965,9 Village Green Circle,,20429,,NE,noisy,,,,noisy
Male,,Adelbert,,Ugolotti,,9/21/2018,636-42-5137,13 Swallow Place,APT 886,20446,,SE,noisy,,,,noisy
Male,,Aube,,Bartelli,,3/27/1973,489-66-2072,7559 Dixon Way,,20493,,SW,noisy,,,,noisy
Male,,Forster,,Carletto,,12/7/1979,422-13-0620,138 Springview Street,APT 542,20281,,SW,noisy,,,,noisy
Female,,Fionnula,,Morot,,3/26/1950,258-60-3116,83783 Sutherland Alley,SUITE 586,20041,,NW,noisy,,,,noisy
Male,,Ervin,,Maylor,,7/4/1969,346-68-8102,147 Clyde Gallagher Plaza,APT 500,20269,,NW,noisy,,,,noisy
Male,,Hyatt,,Bosnell,,1/2/1964,469-66-9287,270 Hagan Circle,APT 737,20166,,NW,noisy,,,,noisy
Female,,Mable,,Matijasevic,,1/21/1983,129-66-9280,84040 Forster Avenue,,20225,,NW,noisy,,,,noisy
Male,,Garwin,,Gallienne,,3/10/2001,241-84-5423,66299 Boyd Circle,SUITE 472,20596,,NE,noisy,,,,noisy
Female,,Hettie,,Sipson,,6/1/1969,361-14-4010,9311 Stone Corner Trail,SUITE 859,20473,,SW,noisy,,,,noisy
Female,,Sybilla,,Borer,,4/23/1941,669-55-0234,9197 Buena Vista Avenue,,20013,,SE,noisy,,,,noisy
Female,,Rosetta,,Lethem,,7/7/2009,864-57-6202,4696 Mcguire Junction,APT 769,20282,,SE,noisy,,,,noisy
Female,,Josee,,Willstrop,,7/31/1984,521-82-3675,784 Crest Line Alley,,20433,,SW,noisy,,,,noisy
Male,,Adam,,Teenan,,11/12/2002,419-30-1138,53 Mendota Street,SUITE 428,20126,,SW,noisy,,,,noisy
Female,,Fayina,,Cawte,,11/6/1989,219-56-6256,32 Rutledge Point,,20307,,NW,noisy,,,,noisy
Female,,Marie,,Frampton,,4/1/1985,690-09-9696,4005 Waywood Plaza,,20417,,NE,noisy,,,,noisy
Female,,Elga,,Mitchelson,,2/28/1969,155-84-9148,687 Warner Parkway,APT 791,20024,,NE,noisy,,,,noisy
Female,,Michel,,Riccardini,,7/13/1945,420-80-0280,23 Commercial Street,APT 738,20518,,SE,noisy,,,,noisy
Female,,Eadith,,Brownlea,,8/13/1963,797-76-2030,056 High Crossing Drive,SUITE 953,20201,,SW,noisy,,,,noisy
Female,,Bebe,,Scudder,,3/11/2016,699-16-7012,469 Center Plaza,SUITE 426,20064,,NE,noisy,,,,noisy
Male,,Fabian,,Gisbourn,,11/2/1934,332-10-1506,31407 Kings Street,,20368,,NE,noisy,,,,noisy
Female,,Alane,,Reinard,,4/5/1981,795-75-1118,17850 Old Gate Point,,20492,,NW,noisy,,,,noisy
Female,,Regina,,Slyme,,7/27/1947,247-16-2170,296 Straubel Hill,APT 413,20365,,SE,noisy,,,,noisy
Male,,Michele,,Overpool,,12/2/2010,242-37-3751,2 Meadow Vale Point,SUITE 599,20579,,NE,noisy,,,,noisy
Male,,Gustaf,,Goldsbrough,,4/9/1978,349-42-8547,55497 Green Court,SUITE 37,20178,,SE,noisy,,,,noisy
Female,,Karee,,Bearcroft,,10/26/1930,376-22-5096,2 Delaware Alley,,20306,,SW,noisy,,,,noisy
Male,,Diego,,Backsal,,2/7/1989,169-20-8117,0 Raven Plaza,UNIT 251,20271,,NW,noisy,,,,noisy
Female,,Shawnee,,Assante,,10/28/1998,381-95-1970,3 Stoughton Plaza,,20098,,SE,noisy,,,,noisy
Male,,Emlen,,Mosten,,1/17/1994,509-27-1900,304 Granby Street,UNIT 286,20540,,NE,noisy,,,,noisy
Male,,Guy,,Varnham,,3/16/1977,798-08-3064,01212 Lunder Park,,20257,,SW,noisy,,,,noisy
Female,,Hetti,,Nuzzetti,,8/20/1956,652-46-5193,5 Pond Parkway,,20147,,NE,noisy,,,,noisy
Female,,Janeva,,Klimpke,,1/13/1949,680-37-1023,61 Fallview Court,,20166,,NW,noisy,,,,noisy
Male,,Jamie,,Beckham,,6/2/2018,238-74-7526,80 Bunker Hill Crossing,APT 445,20140,,SW,noisy,,,,noisy
Female,,Aleta,,Shalloe,,12/26/1998,523-88-5361,0508 Gerald Parkway,SUITE 602,20173,,SW,noisy,,,,noisy
Male,,Delano,,Shakle,,8/6/1983,203-50-1817,670 Meadow Valley Drive,APT 166,20393,,NW,noisy,,,,noisy
Male,,Quincy,,Waterstone,,10/19/1979,515-58-0812,4 Sullivan Terrace,,20420,,SE,noisy,,,,noisy
Female,,Charmian,,Schiesterl,,2/1/2014,739-50-3573,4008 Corscot Drive,,20498,,NW,noisy,,,,noisy
Female,,Alyssa,,Ralling,,4/15/1937,359-50-0676,377 Fairfield Pass,SUITE 143,20017,,NE,noisy,,,,noisy
Female,,Gabrila,,Sellars,,12/1/1988,769-17-8070,2 Pepper Wood Point,,20072,,NW,noisy,,,,noisy
Male,,Grannie,,Cordaroy,,4/1/1959,373-59-9402,3 Garrison Parkway,UNIT 481,20269,,NW,noisy,,,,noisy
Female,,Kelly,,Martinie,,2/11/1951,228-52-0222,72243 Mcbride Parkway,APT 236,20466,,NE,noisy,,,,noisy
