emp_id,first_name,last_name,dob,addr1,addr2,city,latitude,longitude,state,zip,home_phone,mobile,pager,home_email,job_title,hire_date,work_phone,work_email,reports_to,dept_num,office_number
30,Kelly,Grant,11/5/1976,612 Mockingbird Court,,San Diego,33.0169,-116.846,CA,92191,1-(619)773-6339,1-(785)732-0975,,,Sales Associate,11/1/2014,1-(409)184-9029,Kelly.Grant@foo.com,5,4,156
31,William,Mccoy,1/21/1975,6 Prairie Rose Point,,Riverside,33.9228,-117.4867,CA,92505,1-(909)837-0057,1-(713)445-3983,,,Speech Pathologist,12/11/2005,1-(478)503-6824,William.Mccoy@foo.com,4,2,34
32,Earl,Hamilton,1/23/1951,0 Schiller Parkway,,Saint Louis,38.6185,-90.2564,MO,63110,1-(314)227-5438,1-(610)347-6873,,,Software Test Engineer I,6/8/2015,1-(214)618-6416,Earl.Hamilton@foo.com,4,2,527
33,Lawrence,Garcia,5/22/1988,2 Nancy Plaza,,Dallas,32.7673,-96.7776,TX,75397,1-(214)326-7150,1-(602)215-0378,,,Programmer III,6/20/2006,1-(210)937-6608,Lawrence.Garcia@foo.com,3,2,352
34,Kathleen,Powell,9/23/1958,7048 Sundown Court,#2,Dayton,39.6749,-84.1136,OH,45440,1-(937)787-8152,,,,Accounting Assistant I,12/14/2006,1-(254)761-0483,Kathleen.Powell@foo.com,5,2,991
35,Michael,Hansen,12/31/1974,9334 Tennessee Center,,Shreveport,32.6076,-93.7526,LA,71137,1-(318)945-1755,1-(605)571-3316,,,Research Assistant I,2/11/2009,1-(786)821-3877,Michael.Hansen@foo.com,1,3,149
36,Clarence,Allen,12/15/1957,71 Nelson Drive,,Pinellas Park,27.8402,-82.7125,FL,34665,1-(850)681-8121,1-(916)247-0777,,,Electrical Engineer,12/19/2014,1-(937)980-3636,Clarence.Allen@foo.com,5,5,876
37,Jimmy,Ellis,6/28/1981,1 Corscot Park,,Orlando,28.5469,-81.2571,FL,32825,1-(407)149-3242,1-(618)960-2583,,,Occupational Therapist,9/12/2009,1-(305)533-2458,Jimmy.Ellis@foo.com,2,4,349
38,Wanda,Thomas,5/14/1962,337 7th Place,,Las Vegas,36.2471,-115.221,NV,89130,1-(702)147-4827,1-(951)182-7007,,,Data Coordiator,10/13/2012,1-(850)489-9722,Wanda.Thomas@foo.com,5,2,388
39,Aaron,Brown,8/11/1979,616 Boyd Park,,Salem,44.8685,-123.0438,OR,97306,1-(503)344-3715,1-(504)667-2771,,,Media Manager III,4/14/2015,1-(619)234-5126,Aaron.Brown@foo.com,5,4,461
40,Denise,Williams,12/21/1959,5692 Monument Park,,Van Nuys,34.2006,-118.4868,CA,91406,1-(310)320-4630,1-(503)980-3125,,,Teacher,11/6/2006,1-(214)350-3219,Denise.Williams@foo.com,3,2,654
41,Samuel,Richards,7/10/1992,5292 Old Gate Parkway,Floor 2,Atlanta,33.9982,-84.3411,GA,30358,1-(404)654-6528,1-(901)150-9893,,,Automation Specialist IV,3/5/2012,1-(775)663-2719,Samuel.Richards@foo.com,3,3,478
42,Gloria,Moore,8/3/1968,4 Kennedy Drive,#1,Indianapolis,39.7038,-86.3029,IN,46231,1-(317)403-4418,1-(305)195-9794,,,Staff Accountant I,1/9/2008,1-(571)555-0954,Gloria.Moore@foo.com,2,2,537
43,Donna,Burke,1/30/1958,879 Bartillon Park,,Sacramento,38.3774,-121.4444,CA,94273,1-(916)954-8674,,,,Automation Specialist I,3/24/2015,1-(504)178-7766,Donna.Burke@foo.com,345,3,181
44,Adam,Jackson,9/5/1965,6 Crowley Street,,Greensboro,36.0807,-80.0244,NC,27499,1-(336)846-5437,1-(508)975-3296,,,Payment Adjustment Coordinator,9/30/2015,1-(775)939-8888,Adam.Jackson@foo.com,1,1,251
45,Cheryl,West,9/5/1959,70537 Stoughton Center,,Phoenix,33.4724,-112.1832,AZ,85035,1-(602)819-5213,1-(917)233-9414,,,Account Executive,2/1/2014,1-(952)333-4336,Cheryl.West@foo.com,2,5,279
46,Lisa,Fernandez,11/18/1954,4 Golf Parkway,,Erie,42.1827,-80.0649,PA,16565,1-(814)144-5248,1-(916)541-2618,,,Social Worker,11/12/2008,1-(915)174-4549,Lisa.Fernandez@foo.com,2,1,938
47,Walter,Riley,2/10/1961,76 Oakridge Parkway,,Denver,39.7002,-105.0028,CO,80223,1-(720)591-9215,,,,Nurse Practicioner,12/2/2007,1-(720)277-8265,Walter.Riley@foo.com,5,3,643
48,Albert,Hawkins,10/16/1961,5 Browning Avenue,,El Paso,31.6948,-106.3,TX,79923,1-(915)584-1890,1-(718)235-3374,,,Product Engineer,4/21/2013,1-(516)890-1452,Albert.Hawkins@foo.com,1,5,137
49,Evelyn,Romero,3/26/1987,3 Westridge Parkway,,Saint Louis,38.6171,-90.4504,MO,63131,1-(636)852-0860,1-(202)823-0397,,,Tax Accountant,2/9/2008,1-(770)705-8523,Evelyn.Romero@foo.com,2,1,297
50,Nancy,Long,8/16/1956,7 Brown Way,,White Plains,41.119,-73.733,NY,10633,1-(845)895-0658,1-(216)467-9920,,,Design Engineer,2/11/2014,1-(626)130-6513,Nancy.Long@foo.com,3,3,506
51,Cheryl,Coleman,1/15/1956,850 Alpine Parkway,,Albany,42.6149,-73.9708,NY,12232,1-(518)835-7280,1-(706)345-7592,,,Marketing Assistant,3/5/2012,1-(813)154-9075,Cheryl.Coleman@foo.com,1,3,844
52,Barbara,Baker,2/12/1976,2361 Grim Pass,,San Diego,33.0169,-116.846,CA,92153,1-(619)570-6222,1-(260)298-7987,,,Technical Writer,4/5/2007,1-(917)674-1121,Barbara.Baker@foo.com,5,3,472
53,Clarence,Stevens,11/6/1953,790 Boyd Junction,Apt. A,Flint,43.0113,-83.7108,MI,48555,1-(810)155-1395,1-(832)783-6177,,,Web Developer III,8/4/2008,1-(301)219-8013,Clarence.Stevens@foo.com,4,4,609
54,Louise,Burton,11/15/1987,662 Trailsway Alley,,Chicago,41.8119,-87.6873,IL,60663,1-(312)510-7926,1-(361)476-4670,,,Electrical Engineer,3/11/2012,1-(612)741-4948,Louise.Burton@foo.com,1,5,590
55,Margaret,Rivera,6/1/1967,3 Orin Alley,,Omaha,41.2335,-96.1188,NE,68144,1-(402)893-8038,,,,Actuary,5/24/2006,1-(501)275-5833,Margaret.Rivera@foo.com,3,1,157
56,Larry,Mcdonald,7/10/1964,3756 Lawn Plaza,,Lincoln,40.9317,-96.6045,NE,68517,1-(402)361-1412,1-(650)229-7629,,,Business Systems Development Analyst,10/8/2006,1-(917)181-9904,Larry.Mcdonald@foo.com,4,2,581
57,Linda,Burns,6/10/1993,2 Eliot Pass,,Dallas,32.7699,-96.743,TX,75210,1-(972)477-7604,1-(215)714-3051,,,Help Desk Technician,4/25/2012,1-(212)818-8964,Linda.Burns@foo.com,5,5,301
58,Anna,Oliver,10/7/1989,24359 Bobwhite Lane,,Brooklyn,40.6281,-73.9467,NY,11210,1-(347)489-9134,1-(361)285-8619,,,Physical Therapy Assistant,6/27/2010,1-(813)862-6716,Anna.Oliver@foo.com,3,2,414
59,Linda,Parker,7/29/1955,84017 Hermina Park,,Washington,38.945,-77.0364,DC,20022,1-(202)990-3464,1-(850)345-5448,,,Accounting Assistant I,2/7/2012,1-(309)381-4598,Linda.Parker@foo.com,4,2,455
60,Judith,Robertson,11/17/1968,97649 Hayes Drive,,Worcester,42.2894,-71.7888,MA,1605,1-(508)298-2293,1-(305)847-0864,,,Quality Control Specialist,12/31/2011,1-(818)708-4257,Judith.Robertson@foo.com,2,5,708
61,Deborah,Peters,3/3/1972,8 Glendale Plaza,,Sacramento,38.6026,-121.4475,CA,95813,1-(916)382-7206,1-(843)464-5380,,,Assistant Manager,7/26/2012,1-(212)412-8254,Deborah.Peters@foo.com,2,2,667
62,Lawrence,Ellis,9/23/1954,08192 Stephen Junction,#3,Van Nuys,34.1781,-118.4574,CA,91411,1-(213)739-5766,1-(203)106-7194,,,Web Developer II,4/23/2015,1-(651)885-9094,Lawrence.Ellis@foo.com,5,3,881
63,Bobby,Wright,4/18/1987,32 Lindbergh Hill,,Philadelphia,40.0422,-75.0244,PA,19136,1-(215)415-5951,1-(202)375-3730,,,Research Associate,4/24/2006,1-(309)409-5096,Bobby.Wright@foo.com,2,2,764
64,Willie,Crawford,11/30/1973,818 Oriole Street,,Sparks,39.6269,-119.7081,NV,89436,1-(775)188-9617,1-(585)479-2399,,,Technical Writer,1/1/2013,1-(937)697-7780,Willie.Crawford@foo.com,2,4,698
65,Laura,Stone,5/16/1974,0222 Kim Avenue,,El Paso,31.7674,-106.4304,TX,79905,1-(915)769-5957,,,,Operator,10/20/2008,1-(330)332-5912,Laura.Stone@foo.com,3,4,686
66,Linda,Harper,4/8/1961,53 Thompson Way,,Washington,38.8933,-77.0146,DC,20215,1-(202)473-6552,1-(412)280-3833,,,Compensation Analyst,7/15/2011,1-(765)120-3186,Linda.Harper@foo.com,1,5,553
67,Andrew,Scott,1/19/1980,997 Russell Pass,Suite 210,Minneapolis,45.0242,-93.302,MN,55412,1-(952)301-9459,1-(941)739-5232,,,Chemical Engineer,1/11/2013,1-(319)384-6627,Andrew.Scott@foo.com,5,4,909
68,Teresa,Ruiz,1/24/1974,6710 Division Park,,Austin,30.3264,-97.7713,TX,78778,1-(512)132-8879,1-(203)102-7052,,,Nuclear Power Engineer,9/8/2009,1-(309)317-7310,Teresa.Ruiz@foo.com,2,1,379
69,Aaron,Gardner,9/22/1966,997 Hansons Parkway,Apt. B,Berkeley,37.8571,-122.25,CA,94705,1-(510)853-7412,1-(907)646-8130,,,Librarian,6/3/2007,1-(808)360-2138,Aaron.Gardner@foo.com,1,1,846
70,Wayne,Wallace,11/9/1975,1654 Merry Way,Suite 210,Garden Grove,33.783,-118.0256,CA,92645,1-(714)477-4874,1-(432)570-9471,,,Engineer IV,3/31/2014,1-(260)545-6894,Wayne.Wallace@foo.com,2,2,85
71,Ann,Spencer,7/18/1956,07 Raven Avenue,,San Rafael,38.068,-122.741,CA,94913,1-(415)446-4752,1-(216)477-7575,,,Pharmacist,6/26/2012,1-(704)599-0619,Ann.Spencer@foo.com,1,5,359
72,Jacqueline,Lynch,12/26/1950,870 Vidon Way,,Terre Haute,39.5327,-87.3255,IN,47805,1-(812)703-5310,1-(407)255-7322,,,Geologist III,11/25/2007,1-(216)331-3490,Jacqueline.Lynch@foo.com,2,5,294
73,Joan,Hayes,4/26/1972,938 Monterey Lane,,Austin,30.3264,-97.7713,TX,78778,1-(512)108-4919,,,,Software Consultant,11/28/2014,1-(520)483-9394,Joan.Hayes@foo.com,5,4,673
74,Cheryl,Dunn,3/16/1978,58396 Golf Junction,,Olympia,47.1042,-122.87,WA,98506,1-(360)632-3372,1-(919)536-0280,,,Internal Auditor,10/21/2011,1-(585)580-1109,Cheryl.Dunn@foo.com,4,5,805
75,Catherine,Schmidt,11/29/1989,019 Farragut Center,,Migrate,38.0638,-84.5027,KY,41905,1-(502)213-2765,1-(260)111-1858,,,Director of Sales,9/26/2008,1-(813)709-8350,Catherine.Schmidt@foo.com,5,3,103
76,Christina,Bailey,5/6/1965,6 Brickson Park Road,,San Francisco,37.7441,-122.4863,CA,94116,1-(415)621-1338,,,,Senior Sales Associate,6/21/2007,1-(626)819-9644,Christina.Bailey@foo.com,4,2,232
77,Juan,Reid,12/7/1990,806 Chive Junction,Apt. A,Pompano Beach,26.2785,-80.1157,FL,33064,1-(561)864-3645,1-(775)138-6190,,,Web Developer II,7/10/2009,1-(503)118-0098,Juan.Reid@foo.com,1,4,728
78,Cynthia,James,11/13/1988,974 Sunnyside Avenue,,Raleigh,35.7977,-78.6253,NC,27635,1-(919)451-1846,1-(415)621-2254,,,Geologist II,10/27/2007,1-(530)335-7107,Cynthia.James@foo.com,4,2,248
79,Donald,Schmidt,12/12/1992,3 Donald Drive,,Memphis,35.1334,-90.0046,TN,38104,1-(901)291-1105,1-(813)676-1783,,,Web Developer I,6/27/2007,1-(713)734-6680,Donald.Schmidt@foo.com,1,4,389
80,Joshua,Stevens,3/5/1966,203 Onsgard Junction,,San Diego,32.8891,-117.1005,CA,92145,1-(619)169-8762,1-(801)617-3636,,jstevens27@spotify.com,Human Resources Manager,9/23/2012,1-(317)222-5616,Joshua.Stevens@foo.com,1,5,163
81,Gary,Nichols,12/8/1973,6 Mandrake Hill,,Oklahoma City,35.5704,-97.5257,OK,73114,1-(405)801-9191,1-(646)316-3808,,,Operator,9/26/2006,1-(321)908-7074,Gary.Nichols@foo.com,4,5,936
82,Jack,Dunn,10/27/1957,37141 Southridge Terrace,#3,Newark,40.7107,-74.2131,NJ,7112,1-(973)998-8372,1-(405)604-8750,,,Payment Adjustment Coordinator,10/8/2007,1-(619)641-5635,Jack.Dunn@foo.com,4,2,490
83,Julie,White,7/11/1964,6 Continental Road,,Jackson,32.3386,-90.1708,MS,39216,1-(601)677-6747,,,,Programmer Analyst II,5/16/2014,1-(518)206-4407,Julie.White@foo.com,3,3,97
84,Martin,Harvey,1/3/1981,3 Warrior Alley,,Baton Rouge,30.3633,-91.0919,LA,70810,1-(225)825-3345,,,,Director of Sales,8/31/2007,1-(305)611-0700,Martin.Harvey@foo.com,3,4,686
85,Daniel,Williams,7/20/1955,63795 Dakota Pass,,Des Moines,41.6727,-93.5722,IA,50981,1-(515)417-8685,1-(406)768-0568,,,Marketing Assistant,11/26/2010,1-(760)831-0517,Daniel.Williams@foo.com,4,4,919
86,Albert,Fisher,6/6/1969,026 Westerfield Circle,,Stamford,41.3089,-73.3637,CT,6912,1-(203)180-2114,1-(717)814-7827,,afisher2d@lulu.com,Software Test Engineer II,7/28/2013,1-(617)865-6877,Albert.Fisher@foo.com,3,5,127
87,Ronald,Alexander,1/9/1969,7366 Ilene Terrace,,Jackson,32.3113,-90.3972,MS,39236,1-(601)887-2740,1-(585)846-2596,,,Food Chemist,4/23/2015,1-(215)470-1877,Ronald.Alexander@foo.com,5,3,611
88,Billy,Thompson,6/24/1956,9163 Oak Valley Road,,Miami,25.5584,-80.4582,FL,33245,1-(786)304-5553,1-(202)286-2992,,,Senior Quality Engineer,4/15/2012,1-(423)711-0934,Billy.Thompson@foo.com,4,4,719
89,Betty,Shaw,12/20/1977,0617 Kenwood Point,,Macon,32.8067,-83.6913,GA,31205,1-(478)465-9366,1-(920)467-3416,,,Research Assistant II,9/15/2015,1-(215)959-7607,Betty.Shaw@foo.com,5,2,531
90,Beverly,Banks,6/1/1963,12068 Lerdahl Avenue,,Oxnard,34.0324,-119.1343,CA,93034,1-(805)140-3352,1-(502)811-7485,,,Database Administrator IV,2/28/2015,1-(914)689-0860,Beverly.Banks@foo.com,2,2,128
91,Carlos,Cunningham,10/5/1978,015 Dennis Road,,Saint Augustine,29.9475,-81.5264,FL,32092,1-(904)395-2871,,,,Analog Circuit Design manager,12/25/2014,1-(859)394-6770,Carlos.Cunningham@foo.com,1,1,552
92,Ernest,Reyes,5/8/1990,72 Fallview Trail,#3,Tampa,27.872,-82.4388,FL,33673,1-(813)204-1894,1-(985)573-5364,,,Cost Accountant,9/13/2010,1-(574)438-5754,Ernest.Reyes@foo.com,3,4,707
93,Denise,Day,11/10/1968,21195 Eagle Crest Way,,Bronx,40.8247,-73.894,NY,10459,1-(718)282-1084,1-(508)299-3438,,,Database Administrator IV,1/24/2012,1-(505)633-7846,Denise.Day@foo.com,5,3,778
94,Stephanie,Smith,10/16/1989,3107 Manitowish Crossing,,Jamaica,40.6914,-73.8061,NY,11480,1-(917)990-5141,1-(517)378-9344,,,VP Marketing,1/16/2010,1-(773)923-0178,Stephanie.Smith@foo.com,5,1,554
95,Rebecca,Reynolds,8/23/1972,203 Walton Drive,,Raleigh,35.7977,-78.6253,NC,27658,1-(919)567-2341,1-(408)466-2901,,,Paralegal,12/5/2013,1-(619)967-5387,Rebecca.Reynolds@foo.com,1,5,814
96,Andrea,Boyd,1/28/1970,261 Barby Drive,#2,Miami,25.5584,-80.4582,FL,33245,1-(786)783-6615,1-(513)219-5250,,,GIS Technical Architect,12/20/2006,1-(605)491-7774,Andrea.Boyd@foo.com,2,4,624
97,James,Day,8/24/1961,0 Bluejay Avenue,#2,Minneapolis,45.0242,-93.302,MN,55412,1-(651)249-2084,1-(515)400-2664,,,Accounting Assistant I,11/22/2010,1-(402)934-0051,James.Day@foo.com,5,5,779
98,Jeffrey,Ray,1/21/1964,52 Bluestem Trail,,Washington,38.8933,-77.0146,DC,20215,1-(202)800-9303,1-(651)119-7563,,,Financial Advisor,4/14/2013,1-(314)615-4976,Jeffrey.Ray@foo.com,4,3,877
99,Denise,Bennett,1/16/1985,184 Northfield Lane,Apt. B,Albuquerque,35.0443,-106.6729,NM,87140,1-(505)121-8778,1-(727)971-0702,,,Cost Accountant,3/5/2014,1-(772)842-7959,Denise.Bennett@foo.com,4,3,835
100,Raymond,Franklin,6/30/1959,4 Florence Center,Floor 2,Tampa,27.9951,-82.4046,FL,33610,1-(813)314-1763,,,,Research Assistant III,3/28/2006,1-(502)869-7332,Raymond.Franklin@foo.com,3,2,681
101,Joseph,Ruiz,10/8/1985,521 Oriole Street,,Portland,45.484,-122.5973,OR,97206,1-(503)368-4313,1-(973)567-7777,,,Technical Writer,9/28/2014,1-(614)613-4404,Joseph.Ruiz@foo.com,1,4,273
102,Sharon,Ruiz,7/21/1972,7374 Anthes Hill,#3,El Paso,31.6948,-106.3,TX,79955,1-(915)544-5700,1-(203)198-5215,,,VP Sales,7/16/2009,1-(970)472-2498,Sharon.Ruiz@foo.com,1,1,513
103,Louis,Nguyen,4/15/1977,589 Sycamore Park,,Charleston,38.4142,-81.7582,WV,25313,1-(304)202-3234,1-(937)914-2324,,,Data Coordiator,3/12/2011,1-(318)829-1923,Louis.Nguyen@foo.com,4,5,999
104,Elizabeth,Stone,7/24/1963,92 Armistice Alley,Apt. A,Akron,41.1002,-81.6443,OH,44321,1-(330)119-5219,1-(415)220-7211,,,Structural Analysis Engineer,5/19/2008,1-(720)713-8095,Elizabeth.Stone@foo.com,1,2,836
105,Shirley,Kennedy,3/15/1957,7892 Pankratz Hill,,Melbourne,28.3067,-80.6862,FL,32919,1-(321)841-0888,1-(406)554-1407,,,Marketing Manager,7/12/2007,1-(570)230-9076,Shirley.Kennedy@foo.com,4,3,917
106,John,Mitchell,7/27/1976,99 Sunnyside Hill,Apt. A,Tampa,28.0081,-82.5805,FL,33615,1-(813)768-9660,1-(314)589-9999,,,Graphic Designer,6/26/2011,1-(206)951-7059,John.Mitchell@foo.com,1,4,358
107,Lisa,Burns,4/26/1990,0 Lillian Alley,,Wichita,37.5422,-97.2871,KS,67236,1-(316)221-0859,1-(260)543-5915,1-(408)680-8614,,Product Engineer,3/19/2006,1-(859)773-4600,Lisa.Burns@foo.com,4,3,254
108,Beverly,Butler,3/30/1955,99 Corscot Place,,Southfield,42.4981,-83.2058,MI,48076,1-(313)929-6562,1-(805)507-8337,,,Environmental Tech,3/6/2007,1-(571)203-6054,Beverly.Butler@foo.com,1,5,453
109,Denise,Gilbert,7/30/1989,30387 Dottie Terrace,,Phoenix,33.6299,-112.1316,AZ,85053,1-(602)583-8787,1-(304)764-6076,,,Staff Accountant I,5/25/2015,1-(818)500-0725,Denise.Gilbert@foo.com,3,5,393
110,Rose,Brown,12/29/1986,2352 6th Parkway,,Seattle,47.4441,-122.3249,WA,98148,1-(206)766-6269,1-(214)528-3140,,,Data Coordiator,4/5/2009,1-(832)669-3026,Rose.Brown@foo.com,5,5,242
111,Teresa,Hernandez,2/5/1986,99999 Pine View Road,,San Jose,37.3729,-121.856,CA,95133,1-(408)509-4773,1-(818)679-9252,,,Safety Technician IV,4/27/2011,1-(561)737-0243,Teresa.Hernandez@foo.com,5,5,734
112,Marie,Pierce,12/17/1960,36349 Onsgard Junction,Apt. C,Colorado Springs,38.8247,-104.562,CO,80935,1-(719)437-8699,1-(503)997-4821,,,Teacher,7/24/2014,1-(256)978-2946,Marie.Pierce@foo.com,4,5,213
113,Eric,Fisher,5/23/1969,83 Mockingbird Parkway,,Long Beach,33.7678,-118.1994,CA,90831,1-(562)465-3032,1-(573)193-2977,,,Staff Scientist,2/27/2007,1-(203)384-0112,Eric.Fisher@foo.com,4,2,321
114,Earl,Garza,4/27/1969,0 Arkansas Way,Apt. B,Phoenix,33.2765,-112.1872,AZ,85030,1-(602)744-4717,,,,Research Nurse,1/14/2013,1-(205)832-1545,Earl.Garza@foo.com,1,4,767
115,Harry,Peterson,2/26/1954,1 Homewood Plaza,,Tallahassee,30.4494,-84.291,FL,32399,1-(850)144-5219,,,,Systems Administrator I,7/23/2008,1-(785)104-6413,Harry.Peterson@foo.com,1,2,808
